City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hualmay,PE,69.49,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
5,Bluff,NZ,64.85,overcast clouds,-46.6,168.3333,No hotel found
6,Dhule,IN,62.74,scattered clouds,20.9,74.7833,Plaza
9,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
11,Carnarvon,AU,90.0,clear sky,-24.8667,113.6333,No hotel found
12,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,No hotel found
13,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,No hotel found
14,Samarai,PG,86.16,overcast clouds,-10.6167,150.6667,No hotel found
17,Biak,ID,83.37,overcast clouds,-0.9131,122.8766,No hotel found
22,Almunecar,ES,61.23,overcast clouds,36.7339,-3.6907,Hostal Altamar
24,Gizo,SB,84.76,overcast clouds,-8.103,156.8419,Gizo Hotel
25,Manzanillo,CU,74.91,clear sky,20.3433,-77.1167,Hotel Venus
26,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,Waterford Hotel
27,Miandrivazo,MG,74.98,overcast clouds,-19.5167,45.4667,Baobab
28,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,No hotel found
30,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,Nuevo Ostende
31,Rikitea,PF,78.66,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
32,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti International Resort
35,Hilo,US,80.33,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
36,Tuatapere,NZ,74.34,overcast clouds,-46.1333,167.6833,No hotel found
37,Avarua,CK,80.65,light intensity drizzle,-21.2078,-159.775,Paradise Inn
39,Castro,BR,64.85,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
40,Touros,BR,78.1,broken clouds,-5.1989,-35.4608,Pousada Atlântico
42,Kaitangata,NZ,66.16,overcast clouds,-46.2817,169.8464,No hotel found
43,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Pearl Resort
44,Port Hedland,AU,87.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
45,East London,ZA,69.44,overcast clouds,-33.0153,27.9116,No hotel found
47,Busselton,AU,77.56,clear sky,-33.65,115.3333,No hotel found
49,General Roca,AR,70.63,clear sky,-39.0333,-67.5833,Hotel Austral
53,Airai,TL,67.14,overcast clouds,-8.9266,125.4092,No hotel found
55,Mataura,NZ,78.84,overcast clouds,-46.1927,168.8643,No hotel found
57,Kaputa,ZM,64.94,overcast clouds,-8.4689,29.6619,No hotel found
59,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Dena Hotel
60,Saint-Pierre,RE,74.88,light rain,-21.3393,55.4781,Tropic Hotel
62,Labuhan,ID,81.28,overcast clouds,-6.8844,112.2051,No hotel found
63,Reconquista,AR,72.91,clear sky,-29.15,-59.65,Hotel San Martin
65,Totness,SR,75.72,overcast clouds,5.8833,-56.3167,No hotel found
68,Senanga,ZM,64.26,light rain,-16.1167,23.2667,Senanga Safari Lodge
70,Bredasdorp,ZA,66.7,broken clouds,-34.5322,20.0403,Victoria Hotel
71,Salinopolis,BR,78.44,few clouds,-0.6136,-47.3561,Hotel Salinópolis
72,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Grand Bel Air
76,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
80,Veraval,IN,65.44,few clouds,20.9,70.3667,Shyam
89,Tabou,CI,76.66,clear sky,4.423,-7.3528,hôtel le rochet
92,Paita,PE,68.49,broken clouds,-5.0892,-81.1144,Victor's
93,Tezu,IN,62.04,clear sky,27.9167,96.1667,No hotel found
94,Caravelas,BR,71.04,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
95,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Cape Garden
96,Broken Hill,AU,82.4,clear sky,-31.95,141.4333,Ibis Styles
98,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
102,Arraial Do Cabo,BR,73.74,clear sky,-22.9661,-42.0278,No hotel found
103,Ahipara,NZ,71.62,overcast clouds,-35.1667,173.1667,YHA Ahipara
107,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
109,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Prainha
110,Koupela,BF,64.26,clear sky,12.1794,-0.3517,White Stone Hôtel
111,Montecristo,CO,72.32,clear sky,8.2971,-74.4733,No hotel found
