City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualmay,PE,2023-01-03 01:35:50,-11.0964,-77.6139,69.49,86,100,9.17,overcast clouds
1,Torbay,CA,2023-01-03 01:35:33,47.6666,-52.7314,30.97,89,100,6.91,overcast clouds
2,Jamestown,US,2023-01-03 01:35:51,42.097,-79.2353,42.44,72,0,3.44,clear sky
3,Bilma,NE,2023-01-03 01:35:51,18.6853,12.9164,54.57,37,46,4.0,scattered clouds
4,Upernavik,GL,2023-01-03 01:35:52,72.7868,-56.1549,-16.02,79,17,4.61,few clouds
5,Bluff,NZ,2023-01-03 01:35:52,-46.6,168.3333,64.85,65,100,11.25,overcast clouds
6,Dhule,IN,2023-01-03 01:35:52,20.9,74.7833,62.74,44,46,4.79,scattered clouds
7,Barrow,US,2023-01-03 01:31:39,71.2906,-156.7887,3.22,85,100,20.71,mist
8,Cherskiy,RU,2023-01-03 01:34:31,68.75,161.3,-48.57,100,88,5.08,overcast clouds
9,Kapaa,US,2023-01-03 01:32:57,22.0752,-159.319,80.92,78,0,6.91,clear sky
10,Chokurdakh,RU,2023-01-03 01:35:53,70.6333,147.9167,-39.15,100,94,3.67,overcast clouds
11,Carnarvon,AU,2023-01-03 01:34:17,-24.8667,113.6333,90.0,47,0,7.92,clear sky
12,Alofi,NU,2023-01-03 01:35:54,-19.0595,-169.9187,84.09,74,100,10.36,overcast clouds
13,Port Alfred,ZA,2023-01-03 01:35:54,-33.5906,26.891,65.17,93,100,11.52,overcast clouds
14,Samarai,PG,2023-01-03 01:35:55,-10.6167,150.6667,86.16,64,100,2.68,overcast clouds
15,Hun,LY,2023-01-03 01:35:55,29.1268,15.9477,51.35,77,0,5.1,clear sky
16,Mitchell,US,2023-01-03 01:35:56,43.7094,-98.0298,28.74,88,100,9.22,haze
17,Biak,ID,2023-01-03 01:35:56,-0.9131,122.8766,83.37,65,98,1.77,overcast clouds
18,Vila Franca Do Campo,PT,2023-01-03 01:35:56,37.7167,-25.4333,59.41,86,100,6.49,overcast clouds
19,Matagami,CA,2023-01-03 01:35:57,49.7502,-77.6328,23.11,93,100,9.22,mist
20,Punta Arenas,CL,2023-01-03 01:33:07,-53.15,-70.9167,46.51,71,40,9.22,scattered clouds
21,Ushuaia,AR,2023-01-03 01:34:14,-54.8,-68.3,42.46,81,75,25.32,broken clouds
22,Almunecar,ES,2023-01-03 01:35:57,36.7339,-3.6907,61.23,78,96,3.02,overcast clouds
23,Aykhal,RU,2023-01-03 01:35:58,66.0,111.5,-12.01,91,100,3.74,overcast clouds
24,Gizo,SB,2023-01-03 01:35:58,-8.103,156.8419,84.76,71,100,8.68,overcast clouds
25,Manzanillo,CU,2023-01-03 01:35:59,20.3433,-77.1167,74.91,80,10,12.39,clear sky
26,Port Elizabeth,ZA,2023-01-03 01:35:59,-33.918,25.5701,71.1,92,0,3.44,clear sky
27,Miandrivazo,MG,2023-01-03 01:36:00,-19.5167,45.4667,74.98,86,100,4.12,overcast clouds
28,Bambous Virieux,MU,2023-01-03 01:36:00,-20.3428,57.7575,74.21,94,40,5.75,scattered clouds
29,Aksum,ET,2023-01-03 01:36:00,14.1245,38.7244,55.17,74,8,7.25,clear sky
30,Mar Del Plata,AR,2023-01-03 01:36:01,-38.0023,-57.5575,65.08,80,0,0.0,clear sky
31,Rikitea,PF,2023-01-03 01:36:01,-23.1203,-134.9692,78.66,73,18,11.41,few clouds
32,Vaini,TO,2023-01-03 01:36:02,-21.2,-175.2,82.56,89,40,11.5,scattered clouds
33,Surgut,RU,2023-01-03 01:36:03,61.25,73.4167,3.38,84,100,11.18,light snow
34,Klaksvik,FO,2023-01-03 01:36:04,62.2266,-6.589,40.12,74,56,25.84,broken clouds
35,Hilo,US,2023-01-03 01:36:05,19.7297,-155.09,80.33,73,75,9.22,broken clouds
36,Tuatapere,NZ,2023-01-03 01:36:06,-46.1333,167.6833,74.34,46,100,4.29,overcast clouds
37,Avarua,CK,2023-01-03 01:36:06,-21.2078,-159.775,80.65,89,75,11.5,light intensity drizzle
38,Khatanga,RU,2023-01-03 01:31:42,71.9667,102.5,-8.63,97,100,10.58,light snow
39,Castro,BR,2023-01-03 01:34:18,-24.7911,-50.0119,64.85,91,98,2.51,overcast clouds
40,Touros,BR,2023-01-03 01:36:07,-5.1989,-35.4608,78.1,82,52,10.78,broken clouds
41,Bethel,US,2023-01-03 01:32:06,41.3712,-73.414,46.27,86,100,0.0,overcast clouds
