City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-12-30 19:43:55,-23.1203,-134.9692,298.19,71,63,1.49
1,Kavieng,PG,2022-12-30 19:43:55,-2.5744,150.7967,300.3,73,100,0.71
2,Nikolskoye,RU,2022-12-30 19:43:55,59.7035,30.7861,276.09,99,100,2.48
3,Soyo,AO,2022-12-30 19:43:56,-6.1349,12.3689,299.26,86,100,2.19
4,Bangkalan,ID,2022-12-30 19:43:56,-7.0455,112.7351,298.12,92,100,3.93
5,Barrow,US,2022-12-30 19:43:00,71.2906,-156.7887,255.16,78,100,4.12
6,Port Alfred,ZA,2022-12-30 19:43:57,-33.5906,26.891,292.69,74,95,0.45
7,Mahon,ES,2022-12-30 19:43:57,39.8885,4.2658,288.46,88,20,2.57
8,Longyearbyen,SJ,2022-12-30 19:43:57,78.2186,15.6401,268.06,74,40,8.23
9,Qaanaaq,GL,2022-12-30 19:43:58,77.484,-69.3632,242.43,67,21,3.44
10,Ketchikan,US,2022-12-30 19:43:58,55.3422,-131.6461,276.41,100,100,0.0
11,Busselton,AU,2022-12-30 19:43:58,-33.65,115.3333,288.92,81,100,4.33
12,Saint George,US,2022-12-30 19:42:56,37.1041,-113.5841,279.5,76,100,0.0
13,Butaritari,KI,2022-12-30 19:43:59,3.0707,172.7902,300.12,79,46,6.51
14,Sompeta,IN,2022-12-30 19:43:59,18.9333,84.6,293.8,86,1,1.76
15,Avarua,CK,2022-12-30 19:44:00,-21.2078,-159.775,301.18,74,75,2.57
16,Thompson,CA,2022-12-30 19:44:00,55.7435,-97.8558,259.24,78,100,0.0
17,Punta Arenas,CL,2022-12-30 19:39:16,-53.15,-70.9167,287.16,50,40,13.89
18,Bacolod,PH,2022-12-30 19:44:01,10.6667,122.95,297.89,89,100,2.64
19,Kalemie,CD,2022-12-30 19:44:01,-5.9475,29.1947,293.68,88,77,1.38
20,Souillac,MU,2022-12-30 19:44:02,-20.5167,57.5167,297.36,78,20,1.54
